question,classification,question_tokens,history_tokens,retrieved_nodes_tokens,generated_queries_tokens,output_tokens,total_input_tokens,total_output_tokens
"What is the required email address for sending the notice to a candidate for employment, if I choose to do it by email?",LABEL_1,25,0,2335,46,82,2360,128
What specific companies are responsible for conducting the bias audit of an automated employment decision tool?,LABEL_0,17,0,1627,49,39,1644,88
In which specific courts in New York City can the corporation counsel initiate actions or proceedings?,LABEL_0,17,0,1625,69,53,1642,122
How long are employers required to retain the data collected by the automated employment decision tool?,LABEL_0,17,0,1841,52,28,1858,80
What specific comments did the Department receive from the public regarding the proposed rule?,LABEL_0,15,0,1778,27,67,1793,94
What is the name of the person responsible for conducting the bias audit of the AEDT?,LABEL_0,19,0,1259,44,23,1278,67
Did John develop the AEDT?,LABEL_0,8,0,1239,22,16,1247,38
What was the specific sentiment of the comments received about the proposed rule?,LABEL_0,14,0,1775,31,21,1789,52
What is the average age of the male applicants in the White category?,LABEL_1,14,0,2435,34,50,2449,84
Within how many days will the requested information be provided to a candidate or employee?,LABEL_0,16,0,1470,58,58,1486,116
What are the factors that determine the simplified output if we were to use a tool to decide which companies to sign deals with?,LABEL_0,25,0,1581,66,71,1606,137
What is the impact ratio for non-binary applicants?,LABEL_1,10,0,2321,55,64,2331,119
"According to the policy document, what is the definition of 'Candidate for Promotion'?",LABEL_0,16,0,1434,33,14,1450,47
Who is the best person to go to if I need them to conduct a bias audit?,LABEL_0,18,0,1475,33,16,1493,49
What type of data does the vendor provide regarding applicant selection in Venezuela?,LABEL_1,14,0,2079,61,81,2093,142
,,,,1986.02459,,,2010.459016,217.9959016
