question,classification,question_tokens,history_tokens,retrieved_nodes_tokens,generated_queries_tokens,output_tokens,total_input_tokens,total_output_tokens
"What is the required email address for sending the notice to a candidate for employment, if I choose to do it by email?",LABEL_1,25,0,2696,46,78,2721,124
What specific companies are responsible for conducting the bias audit of an automated employment decision tool?,LABEL_0,17,0,1985,49,23,2002,72
In which specific courts in New York City can the corporation counsel initiate actions or proceedings?,LABEL_0,17,0,1643,69,44,1660,113
How long are employers required to retain the data collected by the automated employment decision tool?,LABEL_0,17,0,2214,52,28,2231,80
What specific comments did the Department receive from the public regarding the proposed rule?,LABEL_0,15,0,2200,27,55,2215,82
What is the name of the person responsible for conducting the bias audit of the AEDT?,LABEL_0,19,0,1413,44,23,1432,67
Did John develop the AEDT?,LABEL_0,8,0,1239,22,21,1247,43
What was the specific sentiment of the comments received about the proposed rule?,LABEL_0,14,0,1922,31,21,1936,52
What is the average age of the male applicants in the White category?,LABEL_1,14,0,2844,34,20,2858,54
Within how many days will the requested information be provided to a candidate or employee?,LABEL_0,16,0,1854,58,38,1870,96
What are the factors that determine the simplified output if we were to use a tool to decide which companies to sign deals with?,LABEL_0,25,0,2175,66,192,2200,258
What is the impact ratio for non-binary applicants?,LABEL_1,10,0,2815,55,74,2825,129
"According to the policy document, what is the definition of 'Candidate for Promotion'?",LABEL_0,16,0,1621,33,14,1637,47
Who is the best person to go to if I need them to conduct a bias audit?,LABEL_0,18,0,1633,33,85,1651,118
What type of data does the vendor provide regarding applicant selection in Venezuela?,LABEL_1,14,0,2825,61,60,2839,121
