question,classification,question_tokens,history_tokens,retrieved_nodes_tokens,generated_queries_tokens,output_tokens,total_input_tokens,total_output_tokens
"What is the required email address for sending the notice to a candidate for employment, if I choose to do it by email?",LABEL_1,25,0,2491,0,94,2516,94
What specific companies are responsible for conducting the bias audit of an automated employment decision tool?,LABEL_0,17,0,1548,0,92,1565,92
In which specific courts in New York City can the corporation counsel initiate actions or proceedings?,LABEL_0,17,0,1291,0,47,1308,47
How long are employers required to retain the data collected by the automated employment decision tool?,LABEL_0,17,0,1885,0,98,1902,98
What specific comments did the Department receive from the public regarding the proposed rule?,LABEL_0,15,0,1773,0,144,1788,144
What is the name of the person responsible for conducting the bias audit of the AEDT?,LABEL_0,19,0,1600,0,23,1619,23
Did John develop the AEDT?,LABEL_0,8,0,1318,0,22,1326,22
What was the specific sentiment of the comments received about the proposed rule?,LABEL_0,14,0,1773,0,19,1787,19
What is the average age of the male applicants in the White category?,LABEL_1,14,0,2718,0,47,2732,47
Within how many days will the requested information be provided to a candidate or employee?,LABEL_0,16,0,1832,0,79,1848,79
What are the factors that determine the simplified output if we were to use a tool to decide which companies to sign deals with?,LABEL_0,25,0,1545,0,30,1570,30
What is the impact ratio for non-binary applicants?,LABEL_1,10,0,2650,0,111,2660,111
"According to the policy document, what is the definition of 'Candidate for Promotion'?",LABEL_0,16,0,1896,0,14,1912,14
Who is the best person to go to if I need them to conduct a bias audit?,LABEL_0,18,0,1410,0,57,1428,57
What type of data does the vendor provide regarding applicant selection in Venezuela?,LABEL_1,14,0,2786,0,20,2800,20
